Fighter,Elo Rating,Peak Elo,Record,Unbeaten Streak,Strength of Schedule
Bill Mahood,1184.736306793522,1200.0,0-1-0,0,1216.0
Stevie Lynch,1184.736306793522,1200.0,0-1-0,0,1216.0
Adrian Serrano,1184.736306793522,1200.0,0-1-0,0,1216.0
Frank Caracci,1184.736306793522,1200.0,0-1-0,0,1216.0
Anton Kuivanen,1184.736306793522,1200.0,1-2-0,0,1200.0
Paul Rodriguez,1184.736306793522,1200.0,0-1-0,0,1216.0
John Dowdy,1184.736306793522,1200.0,0-1-0,0,1216.0
Mike Whitehead,1184.736306793522,1200.0,0-1-0,0,1216.0
John Marsh,1184.736306793522,1200.0,0-1-0,0,1216.0
Brian Gassaway,1184.736306793522,1200.0,0-1-0,0,1216.0
Fred Ettish,1184.736306793522,1200.0,0-1-0,0,1216.0
CM Punk,1184.736306793522,1200.0,0-1-0,0,1200.0
Rex Holman,1184.736306793522,1200.0,0-1-0,0,1216.0
Josh Shockman,1184.736306793522,1200.0,0-1-0,0,1216.0
